,host_response_time,host_acceptance_rate,host_identity_verified,property_type,host_location,host_is_superhost,instant_bookable,host_has_profile_pic,bathrooms_text,host_verifications,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,beds,number_of_reviews,availability_365,price,minimum_nights,maximum_nights
0,DESCONOCIDO,100%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.81,4.86,4.33,4.52,1.0,21,0,200,3,15
1,within a day,45%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.67,4.92,4.7,4.5,1.0,67,157,170,3,3
2,DESCONOCIDO,71%,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1.5 baths,"['email', 'phone']",4.23,5.0,4.86,4.64,4.0,23,2,270,4,65
3,DESCONOCIDO,DESCONOCIDO,f,Private room in rental unit,"Amsterdam, Netherlands",f,f,t,1 private bath,"['email', 'phone']",4.77,4.84,4.89,4.74,2.0,175,0,115,3,50
4,within an hour,100%,t,Private room in condo,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1.5 shared baths,"['email', 'phone']",4.99,4.98,4.69,4.8,2.0,336,7,69,3,28
5,within an hour,98%,t,Private room in townhouse,"Amsterdam, Netherlands",DESCONOCIDO,t,t,1 private bath,"['email', 'phone']",4.79,4.62,4.87,4.49,1.0,339,0,106,1,365
6,DESCONOCIDO,98%,t,Room in boutique hotel,"Amsterdam, Netherlands",t,f,t,1.5 baths,"['email', 'phone']",4.77,4.71,4.96,4.4,1.0,280,0,126,3,1124
7,within an hour,100%,t,Private room in houseboat,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1.5 baths,"['email', 'phone']",4.95,4.92,4.89,4.79,1.0,251,0,137,3,356
8,DESCONOCIDO,DESCONOCIDO,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 shared bath,"['email', 'phone']",4.87,4.94,4.96,4.83,1.0,510,97,79,2,1825
9,DESCONOCIDO,DESCONOCIDO,t,Entire rental unit,"Amsterdam, Netherlands",f,f,t,1 bath,"['email', 'phone']",4.77,4.97,4.73,4.75,3.0,103,0,120,3,5
10,DESCONOCIDO,DESCONOCIDO,t,Private room in rental unit,"Amsterdam, Netherlands",DESCONOCIDO,f,t,1 shared bath,"['email', 'phone']",4.85,4.91,4.88,4.78,1.0,649,115,59,2,730
