,host_response_time,host_acceptance_rate,host_identity_verified,property_type,host_location,host_is_superhost,instant_bookable,host_has_profile_pic,bathrooms_text,host_verifications,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,beds,number_of_reviews,availability_365,price,minimum_nights,maximum_nights
0,within a day,DESCONOCIDO,f,Entire loft,"Mexico City, Mexico",f,f,t,1.5 baths,['phone'],4.95,4.95,5.0,4.86,1.0,21,324,1434,1,1125
1,DESCONOCIDO,DESCONOCIDO,t,Entire guest suite,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.88,5.0,4.95,4.84,1.0,61,346,830,3,1125
2,within an hour,90%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,2 baths,"['email', 'phone']",4.71,4.92,4.58,4.71,3.0,39,87,1469,24,1125
3,DESCONOCIDO,DESCONOCIDO,t,Entire villa,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone', 'work_email']",4.7,4.8,4.8,4.7,1.0,0,363,3658,1,7
4,within an hour,86%,t,Entire home,"Mexico City, Mexico",f,f,t,5.5 baths,"['email', 'phone', 'work_email']",4.7,4.78,4.98,4.48,8.0,64,357,18000,1,365
5,within a few hours,70%,t,Entire loft,"Mexico City, Mexico",f,f,t,2 baths,"['email', 'phone']",4.71,4.85,5.0,4.83,1.0,78,240,2561,2,30
6,within an hour,95%,t,Entire condo,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.88,4.94,4.75,4.79,1.0,84,144,650,3,250
7,within an hour,100%,t,Private room in home,"Mexico City, Mexico",t,f,t,1 shared bath,"['email', 'phone']",4.9,4.95,4.94,4.87,1.0,62,168,1089,2,1125
8,within an hour,100%,t,Entire condo,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone', 'work_email']",4.75,4.75,4.88,4.81,1.0,18,156,943,2,60
9,within a few hours,58%,t,Entire home,"Mexico City, Mexico",t,f,t,5.5 baths,['phone'],4.69,4.88,4.34,4.75,16.0,120,270,2561,1,90
10,within an hour,98%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.96,4.99,4.95,4.91,2.0,272,153,1881,3,1125
11,within a day,73%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.73,4.91,4.98,4.91,2.0,47,362,2088,4,30
12,within an hour,100%,t,Entire loft,"Mexico City, Mexico",f,t,t,1 bath,"['email', 'phone']",4.69,4.79,4.62,4.61,2.0,585,358,402,1,1125
13,within a day,100%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone', 'work_email']",4.95,4.98,4.96,4.92,1.0,114,145,1097,7,180
14,within an hour,87%,t,Room in serviced apartment,"Mexico City, Mexico",t,t,t,1 bath,"['email', 'phone']",4.83,5.0,4.83,4.78,1.0,23,340,1006,2,730
15,within an hour,87%,t,Entire serviced apartment,"Mexico City, Mexico",t,f,t,1 bath,"['email', 'phone']",4.29,4.43,4.43,4.29,1.0,7,350,998,2,730
16,DESCONOCIDO,0%,t,Private room in rental unit,"Mexico City, Mexico",f,f,t,1.5 baths,['phone'],4.2,4.6,4.8,4.6,1.0,5,363,726,1,14
17,a few days or more,DESCONOCIDO,t,Private room in home,"Mexico City, Mexico",f,f,t,1.5 baths,"['email', 'phone', 'work_email']",4.6,4.8,4.4,4.4,1.0,5,284,375,2,1125
18,DESCONOCIDO,0%,t,Private room in rental unit,"Los Angeles, CA",f,f,t,1 bath,"['email', 'phone', 'work_email']",4.7,4.8,4.8,4.7,2.0,0,365,2835,1,1125
19,within an hour,99%,t,Entire loft,"Mexico City, Mexico",t,f,t,1.5 baths,"['email', 'phone']",5.0,4.78,4.89,4.78,1.0,10,317,3413,2,365
20,within an hour,99%,t,Entire rental unit,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.84,4.96,4.89,4.68,1.0,80,303,1200,2,1125
21,within a few hours,DESCONOCIDO,f,Private room,"Mexico City, Mexico",f,f,t,1 private bath,['phone'],4.7,4.8,4.8,4.7,1.0,0,88,1244,1,730
22,within a few hours,40%,t,Tiny home,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.91,5.0,5.0,4.82,2.0,12,280,817,3,1125
23,DESCONOCIDO,DESCONOCIDO,t,Entire guest suite,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.67,4.81,4.86,4.44,2.0,37,341,950,3,90
24,within an hour,100%,t,Private room in home,"Mexico City, Mexico",f,f,t,1.5 baths,"['email', 'phone']",5.0,5.0,5.0,5.0,1.0,4,336,549,1,90
25,within a few hours,40%,t,Entire loft,"Mexico City, Mexico",f,f,t,1 bath,"['email', 'phone']",4.78,5.0,5.0,4.78,1.0,9,304,672,3,1125
26,within an hour,95%,t,Entire rental unit,"Mexico City, Mexico",t,f,t,3 baths,"['email', 'phone']",4.92,4.96,4.87,4.95,4.0,215,88,2049,2,180
27,within an hour,100%,t,Entire home,"Mexico City, Mexico",t,f,t,5 baths,"['email', 'phone']",4.86,4.92,4.71,4.91,10.0,297,194,3449,2,365
